id,Make,Model,Aircraft.damage,Aircraft.Category,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Injury.Severity,Event.Date,Amateur.Built,Engine.Type,Weather.Condition,Number.of.Engines,Purpose.of.flight,Broad.phase.of.flight,total_passengers,likelihood_serious_fatal,Destroyed?
452,Canadair,CL-600-1A11,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1983-01-03,No,Turbo Fan,VMC,2.0,Executive/corporate,Approach,2.0,1.0,1
1118,Teal,TSC-1A,Destroyed,Airplane,1.0,0.0,1.0,0.0,Fatal(1),1983-01-06,No,Reciprocating,UNK,1.0,Personal,Maneuvering,2.0,0.5,1
154,Convair,580-11-A,Substantial,Airplane,1.0,1.0,0.0,31.0,Fatal(1),1983-01-09,No,Reciprocating,IMC,2.0,Unknown,Landing,33.0,0.06060606060606061,0
30,Israel Aircraft Industries,1124,Substantial,Airplane,0.0,0.0,0.0,8.0,Non-Fatal,1983-01-19,No,Turbo Fan,VMC,2.0,Executive/corporate,Takeoff,8.0,0.0,0
160,"Smith, Ted Aerostar",600 AEROSTAR,Minor,Airplane,0.0,0.0,0.0,1.0,Incident,1983-01-24,No,Reciprocating,VMC,2.0,Unknown,Landing,1.0,0.0,0
76,Gates Learjet,24,Minor,Airplane,0.0,0.0,0.0,3.0,Incident,1983-01-26,No,Turbo Jet,VMC,2.0,Unknown,Landing,3.0,0.0,0
315,Gulfstream,AMERICAN AA-5B,Substantial,Airplane,0.0,0.0,0.0,2.0,Non-Fatal,1983-02-01,No,Reciprocating,VMC,1.0,Personal,Landing,2.0,0.0,0
545,Embraer,EMB-110,Minor,Airplane,0.0,0.0,0.0,18.0,Incident,1983-02-04,No,Turbo Prop,VMC,2.0,Unknown,Cruise,18.0,0.0,0
785,Gates Learjet,LR24DXR,Minor,Airplane,0.0,0.0,0.0,3.0,Incident,1983-02-06,No,Turbo Jet,VMC,2.0,Business,Landing,3.0,0.0,0
635,Navion,G,Destroyed,Airplane,2.0,0.0,0.0,0.0,Fatal(2),1983-02-07,No,Reciprocating,VMC,1.0,Business,Cruise,2.0,1.0,1
753,Scheibe Flugzeugbau,L SPATZ-55,Substantial,Airplane,0.0,0.0,0.0,1.0,Non-Fatal,1983-02-21,No,Unknown,VMC,0.0,Personal,Landing,1.0,0.0,0
342,Eagle (ultralight),B,Substantial,Airplane,1.0,0.0,0.0,0.0,Fatal(1),1983-02-21,No,Reciprocating,VMC,1.0,Personal,Takeoff,1.0,1.0,0
